project_name,license,platform,institution,funding_sources,investigators,modalities,iacuc_protocol,session_type,description,related_data
OpenScopeVision2Hippocampus,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Mayank Mehta,Jerome Lecoq","ephys","2117","","OpenScope's Vision 2 Hippocampus project"
OpenScopeTemporalBarcode,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Pamela Reinagel,Jerome Lecoq","ephys","2117","","OpenScope's Temporal Barcoding project"
OpenScopeSequenceLearning,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Michael J. Berry,Jerome Lecoq","ephys","2117","","OpenScope's Sequence Learning project"
OpenScopeLoop,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Yaniv Ziv,Jerome Lecoq","ephys","2117","","OpenScope's Loop Project"
OpenScopePsycode,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Torben Ott,Jerome Lecoq","ephys","2117","","OpenScope's Psycode project"
NeuropixelPlatformDevelopment,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Jerome Lecoq","ephys","2117","","OpenScope's Cross-Species V2 Project"
OpenScopePredictiveProcessing,CC-BY-4.0,slap2,AI,NINDS U24 NS113646,"Jerome Lecoq","slap2","2117","","OpenScope's Predictive Processing project"
OpenScopeP3,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Jerome Lecoq","ephys","2117","","OpenScope's Predictive Processing project"
OpenScopeV2,CC-BY-4.0,ecephys,AI,NINDS U24 NS113646,"Jerome Lecoq","ephys","2117","","OpenScope's V2 project"
